P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
K2-71 b,5.27,2.15,6.98541,1.1400757,0.53026778,0.0559,9.6867119,449.41111,507.53923,Superterran,Hot,K2-71,K,341.72487,-9.8816109,16.14,4006,0.48,0.43,,0.030269134,0.14109433,0.35701426,0.17871787,0.33847864,0.46974673,0.075655934,0,0,0,0.36991636
K2-72 c,1.65,1.16,15.189034,1.2262188,1.0570852,0.0784719,2.4068792,316.5723,357.51867,Terran,Hot,K2-72,M,334.62275,-9.6120084,15.37,3360.47,0.27,0.33,,0.014554591,0.098833968,0.25823549,0.12518698,0.24482494,0.3257345,0.020601981,0,0,0,0.70333797
K2-83 c,2.8,1.483,9.99767,1.2731387,0.85848869,0.071438358,12.316357,476.8993,538.58282,Terran,Hot,K2-83,K,59.901378,15.558799,14.522,3910,0.48,0.42,,0.062517269,0.20318105,0.51658106,0.25736008,0.48976024,0.67509325,0.064152808,0,0,0,0.38355291
Kepler-450 b,19.4,6.14,28.454851,0.51459432,0.08381015,0.19933986,90.17212,784.93772,,Neptunian,Hot,Kepler-450,F,295.48658,51.013524,11.991,6197.21,1.19,1.64,0.128,3.5809644,1.3843874,3.2302509,1.7534778,3.0625721,5.1093278,4.4175287,0,0,0,0.14126641
Kepler-109 c,8.2,2.65,21.22265,1.1676753,0.4406322,0.15534239,93.470934,790.64879,,Neptunian,Hot,Kepler-109,G,290.39268,40.284907,12.398,5950,1.09,1.39,-0.02,2.2233099,1.1073986,2.5977599,1.4026509,2.4629128,4.0259072,2.8055934,0,0,0,0.23761538
Kepler-1130 d,0.202,0.645,4.2722502,0.48554774,0.7527872,0.050655,214.16838,974.51505,1100.5616,Subterran,Hot,Kepler-1130,G,285.20742,45.384333,12.509,5450,0.94,0.84,0.1,0.54954087,0.56710766,1.349045,0.71831839,1.2790169,2.0015377,1.131183,0,0,0,0.28303826
Kepler-130 b,1.04,1.02,8.457458,0.99961553,0.98001523,0.07988875,255.67451,1014.3124,1145.5065,Terran,Hot,Kepler-130,G,288.45059,40.245201,11.572,5884,0.93,1.13,-0.199,1.5776113,0.9365868,2.2005761,1.1862998,2.0863463,3.3912809,2.3757447,0,0,0,0.29836806
Kepler-62 d,14,1.95,18.16406,3.6817883,1.8880966,0.12,14.575971,497.7475,562.12759,Superterran,Hot,Kepler-62,K,283.21256,45.349699,13.965,4925,0.69,0.64,-0.37,0.20989399,0.36011043,0.87329745,0.45613362,0.82796407,1.2369831,0.41405817,0,0,0,0.34296602
Kepler-454 d,734.18362,13.3,4073,4.1505095,0.31206838,5.1201985,0.041551482,114.84158,,Jovian,Cold,Kepler-454,G,287.47865,38.229075,11.567,5687,1.03,1.07,0.32,1.0764652,0.78287539,1.849028,0.99161118,1.7530466,2.8013267,1.752263,0,0,0,0.10931732
Kepler-128 b,0.77,1.43,15.09,0.37654653,0.26331925,0.125387,239.05343,1001.6672,1131.2257,Terran,Hot,Kepler-128,F,282.49226,43.980244,11.693,6136,1.09,1.61,0,3.758374,1.4235566,3.3257255,1.803093,3.1530906,5.2343621,3.8619147,0,0,0,0.28770814
Kepler-113 b,11.7,1.82,4.754,3.5321821,1.9407594,0.051194,101.2889,808.14665,912.67465,Superterran,Hot,Kepler-113,K,287.99787,50.944185,13.655,4725,0.75,0.69,0.05,0.26546056,0.4085195,0.99911393,0.51745246,0.9472484,1.3911173,0.30193154,0,0,0,0.27687123
Kepler-22 b,9.1,2.1,289.86388,2.0634921,0.98261527,1.0224704,1.4110575,243.87463,275.41808,Superterran,Warm,Kepler-22,G,289.21721,47.884143,11.751,5596,0.86,0.87,-0.255,0.64565423,0.60956605,1.4434957,0.77209475,1.368565,2.1695205,1.4112034,1,1,2,0.7216326
KMT-2018-BLG-0087L b,73.10053,10.1,,0.71660161,0.070950654,0.87,,,,Jovian,,KMT-2018-BLG-0087L,,264.327,-27.832061,,,0.1,,,,,,,,,,0,0,0,
Kepler-1017 b,4.62,1.99,7.2340047,1.1666372,0.58624985,0.0702,140.06376,876.35719,989.70774,Superterran,Hot,Kepler-1017,G,283.4693,40.132519,14.315,5473,0.93,0.87,0.04,0.6902398,0.63474569,1.5088298,0.80399062,1.4305074,2.2431781,1.1725876,0,0,0,0.26465156
Kepler-1018 b,7.18,2.58,49.101351,1.0786611,0.41808571,0.253,12.934777,483.10268,,Neptunian,Hot,Kepler-1018,G,283.59673,45.407865,15.103,5518,0.91,0.88,-0.05,0.82794216,0.69339924,1.645919,0.87828219,1.5604805,2.4567658,1.2576894,0,0,0,0.31870355
Kepler-1000 b,20.3,4.76,120.01813,0.89594661,0.18822408,0.5337,18.214011,526.2609,,Neptunian,Hot,Kepler-1000,F,286.68547,47.098195,13.23,6453,1.4,1.51,0.35,5.1880004,1.6410134,3.8118813,2.0785083,3.6140114,6.1498393,7.2369558,0,0,0,0.21617213
HD 98736 b,740.5439,13.3,968.8,4.1864656,0.31477185,1.9116028,0.1780297,163.85931,,Jovian,Cold,HD 98736,G,170.4549,18.189608,7.93,5271,0.92,0.93,0.36,0.60255959,0.59971125,1.4352655,0.75961852,1.3607614,2.0958672,0.82578011,0,0,0,0.21683473
HIP 35173 b,12.7,3.61,41.516,0.97451677,0.26994924,0.2197776,6.5873675,406.13479,,Neptunian,Hot,HIP 35173,K,109.04493,-3.6661273,9.01,4881,0.79,0.77,,0.30619634,0.43581679,1.0588098,0.55202743,1.0038462,1.4940453,0.40162879,0,0,0,0.34317868
Kepler-856 b,63.3,9.3,8.0276806,0.73187652,0.0786964,0.0787,153.47956,896.6281,,Jovian,Hot,Kepler-856,G,289.60384,46.31491,15.594,5535,0.96,0.93,0.12,0.95060479,0.74226414,1.7609826,0.94017566,1.6695713,2.632472,1.3182588,0,0,0,0.09899265
TOI-1333 b,753.2571,15.648,4.720219,3.0762779,0.1965924,0.062766798,1321.3309,1534.3262,,Jovian,Hot,TOI-1333,F,325.01454,48.406767,9.438,6274,1.46,1.93,0.119,5.1641637,1.6547773,3.8555486,2.0959518,3.6554115,6.135695,5.3960472,0,0,0,0.058952585
GJ 832 b,314.65012,13.8,3853,1.6522271,0.1197266,3.704625,0.001901692,53.171749,,Jovian,Cold,GJ 832,M,323.39126,-49.012517,8.66,3472,0.45,0.44,-0.3,0.026001596,0.13193207,0.34283772,0.16711087,0.32503463,0.43537528,0.029585104,0,0,0,0.067151337
Proxima Cen b,1.07,1.03,11.1868,1.0085776,0.97920158,0.048569712,0.67846824,231.1796,261.08103,Terran,Warm,Proxima Cen,M,217.39347,-62.676182,11.01,2900,0.12,0.14,,0.001599558,0.032919202,0.087887595,0.041696016,0.083322159,0.10798508,0.007127707,1,1,1,0.86414229
gam Lib c,1662.5604,12.8,966.49,10.147463,0.79277058,2.3228968,14.712705,498.51495,,Jovian,Hot,gam Lib,K,233.88186,-14.789502,3.90672,4879,1.78,12.38,-0.27,78.886012,6.9958894,16.997813,8.861345,16.115443,23.980805,0.52472316,0,0,0,0.13606152
HD 100777 b,390.92894,13.7,383,2.0828437,0.15203239,1.136532,1.0098407,248.09407,,Jovian,Warm,HD 100777,G,173.96463,-4.7555425,8.42,5533,1.08,1.04,-0.27,1.0495424,0.78002505,1.8506825,0.9880049,1.7546149,2.7660738,1.3663416,1,1,0,0.38908842
GJ 3222 b,11.44182,3.4,10.66669,0.98977682,0.29111083,0.13026837,182.65095,676.32588,,Neptunian,Hot,GJ 3222,K,50.897246,-40.076233,6.9,5257.46,0.89,0.93,0.16,0.5597576,0.57843657,1.3850145,0.73267138,1.3131189,2.0200577,0.79792616,0,0,0,0.20129518
HD 114783 c,603.87397,13.4,4352,3.3630762,0.25097584,5.00625,0.016966941,91.896041,,Jovian,Cold,HD 114783,K,198.18184,-2.2649921,7.56,5126.74,0.9,0.84,0.151,0.42364297,0.50664344,1.2189404,0.6417371,1.1556653,1.7573722,0.63980505,0,0,0,0.08460658
GJ 338 B b,10.6,3.25,24.422,1.0035503,0.30878471,0.14284355,3.9538363,358.41157,,Neptunian,Hot,GJ 338 B,M,138.59167,52.683521,7.7,4014,0.64,0.58,-0.03,0.079250133,0.22826143,0.57734544,0.28912855,0.54737065,0.7600878,0.084422496,0,0,0,0.43616595
mu2 Sco b,4576.7291,12.3,,30.251365,2.4594606,280.40832,0.12961227,142.72205,,Jovian,Cold,mu2 Sco,B,253.08387,-38.017634,3.56,21700,9.1,5.6,,6309.5734,55.081304,126.93778,69.764834,120.34883,214.46862,3.21E+12,0,0,0,0.18896346
Kepler-1086 b,6.53,2.44,18.784257,1.0968154,0.4495145,0.1198,9.6180352,448.61243,506.63724,Superterran,Hot,Kepler-1086,K,295.25119,45.842954,16.002,4350,0.7,0.66,0.06,0.13803843,0.29858331,0.74291123,0.37820251,0.70434351,1.0031451,0.15492679,0,0,0,0.35424799
Kepler-1089 b,4.01,1.83,5.1324856,1.1974081,0.65432137,0.0497,20.430887,541.5911,611.64204,Superterran,Hot,Kepler-1089,M,291.09265,49.190173,16.233,3753,0.52,0.49,-0.09,0.05046613,0.18307216,0.46912632,0.23188855,0.44476806,0.60654603,0.05031095,0,0,0,0.32617528
HD 218566 b,63.566,9.32,225.7,0.7318011,0.078519431,0.72105,0.77764453,235.05602,,Jovian,Warm,HD 218566,K,347.29742,-2.2611645,8.6,4730,0.76,0.85,0.28,0.35318317,0.47111156,1.1519435,0.59673485,1.0921444,1.6045888,0.30588383,1,1,0,0.42310876
HD 221287 b,982.05,13.1,456.1,5.7225686,0.4368373,1.254,1.0655509,258.50604,,Jovian,Warm,HD 221287,F,352.83622,-58.209754,7.82,6304,1.25,1.14,-0.03,1.6595869,0.93638726,2.1805504,1.1860333,2.0673606,3.4782738,5.3948371,1,1,0,0.39277728
HD 222076 b,495.8148,13.5,871,2.7205202,0.20152001,1.835856,2.5438531,321.32917,,Jovian,Hot,HD 222076,K,354.53198,-70.903246,7.47,4806,1.07,4.1,0.05,8.4918048,2.3026926,5.6120342,2.9167094,5.3207073,7.8679894,0.39064735,0,0,0,0.31701125
HD 222582 b,2660.2371,12.6,572.38,16.756344,1.3298685,1.697043,1.0619045,225.9818,,Jovian,Warm,HD 222582,G,355.46408,-5.9862379,7.68,5790,1.12,1.13,0.01,1.3031668,0.85608562,2.0162707,1.0843382,1.9116079,3.0822209,2.1506828,1,1,0,0.396506
HD 224693 b,222.481,14,26.6904,1.1351071,0.081079082,0.19203293,112.27801,827.53924,,Jovian,Hot,HD 224693,G,359.97498,-22.428,8.23,5894,1.31,1.93,0.27,4.0738028,1.504126,3.5331776,1.9051559,3.3497737,5.4495892,2.7092998,0,0,0,0.073687034
HD 87883 b,1719.1338,12.8,3309.2212,10.49276,0.8197469,5.0684438,0.029071518,92.985571,,Jovian,Cold,HD 87883,K,152.17942,34.241998,7.56,4980,0.81,0.8,0.093,0.33806484,0.45584994,1.1030155,0.57740144,1.0457575,1.5698703,0.48007581,0,0,0,0.099627798
HD 45350 b,568.89,13.5,963.6,3.1214815,0.23122085,2.5010726,0.59738619,190.33033,,Jovian,Warm,HD 45350,G,97.190226,38.962731,7.89,5566,0.98,1.26,0.23,1.3835664,0.8938806,2.1186786,1.132217,2.0086996,3.1758777,1.3999589,1,0,0,0.36490562
HD 47186 b,22.2481,5.02,4.0845,0.8828471,0.17586596,0.05004,441.98518,1167.6731,,Neptunian,Hot,HD 47186,G,99.036721,-27.623428,7.63,5657,0.96,1.08,0.24,1.1040786,0.79426291,1.8775232,1.0060357,1.7800625,2.8370289,1.6256501,0,0,0,0.15238189
HD 60532 b,336.8998,13.8,201.9,1.7690601,0.12819276,0.796026,17.507229,514.32244,,Jovian,Hot,HD 60532,F,113.51307,-22.295866,4.44,6245,1.5,2.57,-0.26,10.023052,2.3094044,5.383696,2.9251091,5.1042344,8.5479853,5.1802548,0,0,0,0.12149626
K2-175 b,4.81,2.038,9.525988,1.1580751,0.56824096,0.090488164,320.49145,1077.8388,1217.2496,Superterran,Hot,K2-175,G,52.503551,17.584108,10.836,5909,1.09,1.42,0.05,2.6242185,1.2061135,2.8321101,1.5276867,2.685098,4.3738488,2.6147724,0,0,0,0.25691975
K2-177 b,5.13,2.116,14.155185,1.1457399,0.54146498,0.12200616,147.65104,887.99156,1002.8469,Superterran,Hot,K2-177,F,55.229616,20.736089,12.681,6063,1.21,1.21,0.41,2.1978599,1.093475,2.5585316,1.3850107,2.4257208,4.0027988,3.527408,0,0,0,0.25785958
HD 82886 b,740.5439,13.3,705,4.1864656,0.31477185,1.583871,5.5815197,391.19022,,Jovian,Hot,HD 82886,G,143.93835,34.78059,7.62,4953,2.53,5.26,-0.31,13.899526,2.9266621,7.0893173,3.7070526,6.7213075,10.066158,0.66995116,0,0,0,0.21756088
HD 82943 b,534.25,13.5,441.47,2.9314129,0.2171417,1.1985841,1.1317784,261.44416,,Jovian,Warm,HD 82943,G,143.7114,-12.130298,6.54993,5935,1.08,1.18,0.26,1.5631476,0.92939618,2.180975,1.1771904,2.0677627,3.3756994,2.7258297,1,1,0,0.38886003
HD 83443 b,127.76702,14.1,2.985628,0.64265892,0.045578647,0.040602923,477.50641,1190.7834,,Jovian,Hot,HD 83443,K,144.29941,-43.272721,8.23,5442,1,0.94,0.34,0.78704579,0.67898705,1.6156036,0.86002891,1.5317386,2.3953212,1.1389937,0,0,0,0.066110153
K2-205 b,4.64,1.996,26.672263,1.164654,0.58349397,0.17170807,53.017421,687.39182,776.30104,Superterran,Hot,K2-205,G,15.217591,0.425966,12.45,5890,0.95,1.08,-0.26,1.5631476,0.93194389,2.1893428,1.1804188,2.0756961,3.3756994,2.4174455,0,0,0,0.27963927
K2-207 b,7.3,2.606,12.48749,1.0749148,0.41247689,0.10316577,63.085378,717.92965,,Neptunian,Hot,K2-207,G,11.699648,0.6406182,13.175,5522,0.94,0.93,0.11,0.67142885,0.62428592,1.4816809,0.79074091,1.4047679,2.2124006,1.2801279,0,0,0,0.24604026
HD 29399 b,498.9906,13.5,892.7,2.7379457,0.20281079,1.9153912,2.7486131,327.84935,,Jovian,Hot,HD 29399,K,68.390347,-62.823758,5.79,4845,1.17,4.5,0.14,10.046158,2.5003394,6.0836805,3.1670571,5.7678711,8.5578322,0.43034574,0,0,0,0.30690675
HD 22781 b,4338.2,12.3,528.07,28.674731,2.3312789,1.5584846,0.42777039,170.00731,,Jovian,Cold,HD 22781,K,55.206558,31.825885,8.78,5027,0.75,0.74,-0.37,0.33419504,0.45221574,1.0921823,0.57279769,1.0354869,1.5608593,0.50726642,0,0,0,0.33573725
HD 231701 b,359.1479,13.7,141.63,1.9135164,0.13967273,0.57179115,9.2583807,442.94253,,Jovian,Hot,HD 231701,F,293.01762,16.474357,8.97,6101,1.21,1.53,0.05,2.9512092,1.2641586,2.9554925,1.6011992,2.802076,4.6383526,3.7653745,0,0,0,0.16498886
HD 25171 b,290.81445,13.9,1802.29,1.5051729,0.10828582,2.9736204,0.21408098,173.22098,,Jovian,Cold,HD 25171,F,58.957478,-65.186324,7.77,6125,1.08,1.23,-0.12,1.8879913,1.0096385,2.3592618,1.27882,2.236795,3.7099133,3.7779929,0,0,0,0.23560304
HIP 79098 AB b,6515.515,12.1,,44.501844,3.6778384,345,,,,Jovian,,HIP 79098 AB,B,242.18212,-23.685524,5.86,9193.75,3.75,,,,,,,,,1114.5848,0,0,0,
HD 6434 b,155.7367,14.2,21.998,0.77235023,0.054390861,0.142023,58.091415,699.43143,,Jovian,Hot,HD 6434,G,16.166344,-39.490491,7.72,5769,1.1,1.12,-0.55,1.1220185,0.79536341,1.874301,1.0074266,1.7770077,2.8599851,2.0620512,0,0,0,0.081411713
HD 7924 b,6.3566,2.4,5.39792,1.1035764,0.4598235,0.060108,109.26489,823.0501,929.50576,Superterran,Hot,HD 7924,K,20.495656,76.710148,7.17896,5131,0.65,0.78,-0.21,0.39264494,0.48765063,1.1730569,0.61767991,1.1121636,1.6918574,0.57825102,0,0,0,0.24713785
kap CrB b,635.66,13.4,1253.68,3.540098,0.26418642,2.502,1.7396733,292.47332,,Jovian,Hot,kap CrB,K,237.808,35.655882,4.79734,4840,1.33,4.68,0.09,10.864256,2.6007247,6.329264,3.2942105,6.0007059,8.8994622,0.44528922,0,0,0,0.3618759
HD 9446 b,222.472,14,30.052,1.1350612,0.081075802,0.19278,31.400805,598.44098,,Jovian,Hot,HD 9446,G,23.335042,29.264919,8.35,5793,1,1,0.09,1.0990058,0.78602933,1.8511263,0.99560317,1.7550361,2.8305039,2.0816548,0,0,0,0.096820191
GJ 179 b,301.93699,13.8,2288,1.5854704,0.11488916,2.4631405,0.002816824,58.194221,,Jovian,Cold,GJ 179,M,73.02455,6.4752347,11.963,3370,0.36,0.38,0.3,0.01599558,0.10360026,0.27056343,0.13122419,0.25651274,0.34147881,0.023049724,0,0,0,0.068123643
HD 28192 b,99.79812,12.2,14.23283,0.67050605,0.054959512,0.11863814,91.537162,786.34707,,Jovian,Hot,HD 28192,G,66.703252,-1.7244842,8.06,5919.87,1.08,1.07,,1.2676519,0.83772399,1.966566,1.0610771,1.8644835,3.0399313,2.6558892,0,0,0,0.084257754
TOI-4551 b,473.56433,11.859,9.95581,3.367308,0.28394536,0.09990699,646.32912,1281.973,,Jovian,Hot,TOI-4551,K,184.97876,-25.827853,9.973,4896,1.31,3.55,0.23,6.3533093,1.9838566,4.8167535,2.5128517,4.5667124,6.8055584,0.48778825,0,0,0,0.076161645
TOI-4791 b,734.18362,12.442,4.28088,4.7426852,0.38118351,0.0555,778.77864,1345.7154,,Jovian,Hot,TOI-4791,F,109.38838,-19.828939,11.541,6058,1.24,1.41,0.207,2.3988329,1.1427242,2.674057,1.4473906,2.5352495,4.1818049,3.5259045,0,0,0,0.072789188
TOI-4463 A b,252.35576,13.26,2.8807198,1.4352454,0.10823872,0.04036,629.64779,1276.0689,,Jovian,Hot,TOI-4463 A,G,279.35813,18.729952,11.036,5640,1.06,1.06,0.25,1.0256519,0.76630174,1.8123147,0.97061977,1.718239,2.7344108,1.631879,0,0,0,0.069184993
TOI-836 b,4.53,1.704,3.81673,1.5601237,0.91556552,0.04225927,78.883455,758.78228,856.92535,Superterran,Hot,TOI-836,K,225.07988,-24.454202,9.92,4552,0.68,0.67,-0.284,0.14028137,0.29896241,0.73685463,0.37868232,0.69860258,1.0112622,0.21709307,0,0,0,0.28643901
K2-178 b,12.4,3.558,8.747818,0.97951208,0.27529851,0.081661487,77.976804,756.99161,,Neptunian,Hot,K2-178,G,52.888852,22.434819,12.382,5525,0.95,0.89,0.09,0.519996,0.54929875,1.303585,0.69575967,1.2359168,1.9469902,1.2912896,0,0,0,0.20471662
HD 94834 b,400.4658,13.7,1576,2.1336555,0.15574128,2.766852,1.3237233,272.23228,,Jovian,Warm,HD 94834,K,164.31264,24.142937,7.6,4798,1.11,4.2,0.12,9.8401111,2.4796197,6.0452967,3.1408147,5.7314784,8.4696169,0.39005783,1,0,0,0.38120687
K2-208 b,3.46,1.679,4.190948,1.2273677,0.73101117,0.04964537,247.88057,1010.7886,1141.5269,Superterran,Hot,K2-208,G,20.778981,0.8890076,12.577,5582,0.93,0.86,-0.11,0.61094202,0.59343811,1.4058911,0.7516669,1.3329124,2.1103951,1.414074,0,0,0,0.27604182
Kepler-1137 b,5.48,2.2,23.921079,1.1322314,0.51465064,0.1871,162.12591,908.99777,1026.5701,Superterran,Hot,Kepler-1137,F,287.13024,48.665347,12.827,6807,1.5,1.84,0.05,5.6754461,1.6827841,3.8907959,2.1313965,3.6888318,6.4322626,13.604088,0,0,0,0.25292091
Kepler-1174 b,3.15,1.59,6.8922522,1.245995,0.78364466,0.0732,669.85043,1295.9677,1463.5918,Terran,Hot,Kepler-1174,G,281.83143,42.298891,14.271,5936,1.04,1.04,-0.04,3.5892193,1.4082327,3.3045617,1.7836935,3.1330251,5.1152135,2.6963817,0,0,0,0.27683378
Kepler-1231 b,2.6,1.42,10.417252,1.2894267,0.90804697,0.0914,126.21402,853.84023,964.27837,Terran,Hot,Kepler-1231,G,288.58829,42.605664,14.808,5778,1.01,1,0.06,1.0543869,0.77060308,1.8155169,0.97606433,1.7212751,2.7724503,2.0354358,0,0,0,0.29327341
Kepler-1235 b,0.418,0.79,4.1605586,0.66976446,0.84780311,0.0491,289.62565,1050.8941,1186.8198,Subterran,Hot,Kepler-1235,G,284.90307,43.954062,14.079,5541,0.93,0.9,0.01,0.6982324,0.63592826,1.5084281,0.80548709,1.4301267,2.2561281,1.3178965,0,0,0,0.29287642
Kepler-1236 b,5.22,2.14,31.057162,1.1398375,0.53263436,0.1803,12.85312,482.33841,544.72544,Superterran,Hot,Kepler-1236,G,295.62474,42.545874,16.145,5337,0.86,0.82,-0.09,0.41783037,0.49761437,1.1881898,0.63029751,1.1265115,1.7452746,0.90436777,0,0,0,0.34276709
KIC 5095269 b,2445.0662,12.6,237.68977,15.401022,1.2223033,0.80145444,7.2880448,418.26924,,Jovian,Hot,KIC 5095269,F,290.55195,40.235045,13.595,6305.24,1.21,1.17,-0.36,4.6558609,1.5682784,3.6519445,1.98639,3.4623763,5.8259099,5.3480481,0,0,0,0.19280828
KIC 5951458 b,35.4,6.6,1320.1,0.81267218,0.12313215,2.3387807,0.65768963,229.4061,,Neptunian,Warm,KIC 5951458,F,288.99162,41.223068,12.836,6258,0.98,1.52,-0.5,3.5974934,1.3824799,3.2220613,1.7510589,3.0548077,5.121106,4.5965176,1,1,0,0.45890025
KIC 7917485 b,3750.394,12.4,840,24.39122,1.9670339,2.0730838,2.3846519,315.21446,,Jovian,Hot,KIC 7917485,A,299.43461,43.632607,13.166,7067,1.63,2.01,-0.02,9.9083194,2.19529,5.0637519,2.7805156,4.8009052,8.4989204,21.862116,0,0,0,0.33249353
KMT-2016-BLG-1107L b,1043,13.1,,6.0777344,0.46394919,0.342,,,,Jovian,,KMT-2016-BLG-1107L,,266.41775,-26.0318,,,0.09,,,,,,,,,,0,0,0,
KMT-2018-BLG-0029L b,7.59,2.67,,1.0646804,0.3987567,4.27,,,,Superterran,,KMT-2018-BLG-0029L,,264.46946,-27.9847,,,1.14,,,,,,,,,,0,0,0,
Kepler-1136 b,3.33,1.64,2.3617243,1.2381023,0.75494044,0.0299,156.91253,901.60044,1018.216,Superterran,Hot,Kepler-1136,K,284.10784,44.245805,16.037,4512,0.72,0.68,0.03,0.14028137,0.29939084,0.73926942,0.3792251,0.70089179,1.0112622,0.20657405,0,0,0,0.28111218
Kepler-1260 b,3.78,1.77,19.118775,1.2065498,0.68166658,0.1444,161.01473,907.43623,1024.8066,Superterran,Hot,Kepler-1260,G,295.59127,42.555226,14.953,5961,1.06,1.08,0.01,3.3573761,1.3599181,3.1892998,1.7224961,3.0237464,4.9472489,2.8326429,0,0,0,0.27448804
Kepler-1261 b,5.73,2.26,48.430899,1.1218576,0.49639718,0.239,5.2505427,385.61219,435.48838,Superterran,Hot,Kepler-1261,K,285.23248,48.806696,15.817,5006,0.82,0.77,0.03,0.29991625,0.42882945,1.0365596,0.54317573,0.98275144,1.4786445,0.5040634,0,0,0,0.44690761
Kepler-1271 b,2.79,1.48,3.0255955,1.27374,0.86063511,0.0418,947.64884,1413.3885,1596.2003,Terran,Hot,Kepler-1271,F,286.3443,37.411935,14.075,6143,1.13,1.23,-0.01,1.65577,0.94447296,2.2061696,1.19628,2.0916497,3.4742716,3.9558774,0,0,0,0.28123409
Kepler-1163 b,1.08,1.03,6.117869,1.0180036,0.98835299,0.0685,530.41874,1222.5156,1380.6393,Terran,Hot,Kepler-1163,F,290.23586,50.030065,12.208,6302,1.22,1.35,0.02,2.4888573,1.1468528,2.6707539,1.4526102,2.5321181,4.2595504,5.3329728,0,0,0,0.29547693
Kepler-1164 b,1.46,1.12,3.9759977,1.1639031,1.0391992,0.0457,191.05904,947.09078,1069.5902,Terran,Hot,Kepler-1164,K,287.52964,38.894506,14.321,5183,0.85,0.79,-0.03,0.3990249,0.49028947,1.1771227,0.62102169,1.1160185,1.7055473,0.69143241,0,0,0,0.2991129
Kepler-1237 b,8.55,2.86,84.573323,1.0452834,0.3654837,0.3778,3.8679076,357.24712,,Neptunian,Hot,Kepler-1237,G,295.62927,44.690582,16.012,5472,0.94,0.9,0.12,0.55207744,0.56770724,1.3495183,0.71907744,1.2794657,2.0061517,1.1747555,0,0,0,0.46181463
Kepler-1238 b,4.38,1.93,4.1478756,1.1758705,0.60925932,0.0541,1311.0084,1532.855,1731.1189,Superterran,Hot,Kepler-1238,F,297.90577,40.162838,14.919,6386,1.3,1.48,0.05,3.8370725,1.4168653,3.2947686,1.7946054,3.1237412,5.2888806,6.292711,0,0,0,0.25915582
Kepler-124 c,3.71,1.75,13.821375,1.2114286,0.6922449,0.1,34.119291,615.67243,695.30527,Superterran,Hot,Kepler-124,K,286.75273,49.064879,14.4,4984,0.84,0.64,-0.46,0.34119291,0.45786736,1.1077197,0.57995676,1.0502175,1.5771165,0.48928178,0,0,0,0.30583655
Kepler-1215 b,1.98,1.22,4.7670396,1.3302876,1.0903996,0.0528,235.90229,998.34983,1127.4793,Terran,Hot,Kepler-1215,G,297.46365,48.181398,14.539,5616,0.95,0.93,0.01,0.65765784,0.61448658,1.4542877,0.77832683,1.3787968,2.1895949,1.5098033,0,0,0,0.29536986
Kepler-1145 b,2.54,1.4,3.9707677,1.2959184,0.92565598,0.0443,161.87976,908.65254,1026.1803,Terran,Hot,Kepler-1145,K,295.30815,43.044403,15.471,5064,0.79,0.75,-0.13,0.31768741,0.44011052,1.0614118,0.55746425,1.0063138,1.5218217,0.55000219,0,0,0,0.29170256
Kepler-115 c,7.27,2.6,8.990889,1.0754438,0.41363223,0.087,219.26105,980.2573,,Neptunian,Hot,Kepler-115,G,297.71193,45.261985,13.545,5979,1.07,1.21,-0.05,1.6595869,0.95507162,2.2389091,1.2097099,2.1226896,3.4782738,2.9307667,0,0,0,0.23206348
Kepler-1291 b,3.39,1.66,8.6304328,1.2302221,0.74109765,0.0779,56.224433,697.55906,787.78334,Superterran,Hot,Kepler-1291,K,289.37701,40.001079,16.261,5216,0.84,0.8,-0.04,0.34119291,0.4525915,1.085305,0.5732714,1.0289671,1.5771165,0.728884,0,0,0,0.29541326
Kepler-1168 b,6.8,2.5,55.822654,1.088,0.4352,0.2663,4.1615744,363.84309,410.90359,Superterran,Hot,Kepler-1168,K,287.29778,47.455488,15.755,5157,0.87,0.82,0.13,0.29512092,0.42221507,1.0146612,0.53479602,0.96199027,1.4667759,0.66637308,0,0,0,0.47139058
Kepler-1170 b,6.39,2.41,9.9896933,1.1001877,0.45650941,0.088,59.297264,706.90064,798.33319,Superterran,Hot,Kepler-1170,K,292.16854,43.779596,16.204,5069,0.8,0.76,-0.09,0.45919801,0.52899893,1.2755365,0.67005433,1.2093233,1.8296321,0.55707796,0,0,0,0.25644909
Kepler-122 b,6.08,2.34,5.766193,1.1103806,0.47452162,0.064,454.61112,1176.2773,1328.4204,Superterran,Hot,Kepler-122,F,291.11186,39.949025,14.403,6050,1.08,1.22,-0.06,1.8620871,1.0072878,2.3575389,1.2758452,2.2351614,3.6843745,3.3212555,0,0,0,0.2409877
