P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
Kepler-216 b,6.12,2.35,7.693641,1.1081938,0.47157181,0.079,528.13606,1221.1982,1379.1515,Superterran,Hot,Kepler-216,F,293.72807,46.129114,14.054,6091,1.11,1.26,-0.149,3.2960971,1.3368004,3.1259852,1.6932087,2.9637186,4.9018923,3.5963299,0,0,0,0.24011457
Kepler-1611 b,0.457,0.81,5.1762429,0.69654016,0.85992613,0.0586,224.49402,986.05446,1113.5936,Terran,Hot,Kepler-1611,G,296.51202,49.727751,14.627,5605,0.94,0.93,0.01,0.77090347,0.66572099,1.5760538,0.84322209,1.4942421,2.3706299,1.4763222,0,0,0,0.29524508
Kepler-1618 b,2.13,1.26,6.1082602,1.3416478,1.0647998,0.0706,982.63131,1426.2556,1610.7316,Terran,Hot,Kepler-1618,F,295.17536,45.930859,13.672,6620,1.41,1.65,0.04,4.8977882,1.5792276,3.6595397,2.0002419,3.4695784,5.9753557,9.6646911,0,0,0,0.28965758
Kepler-1614 b,2.83,1.49,3.9466141,1.2747174,0.855515,0.0471,241.52283,1004.244,1134.1358,Terran,Hot,Kepler-1614,K,284.87139,49.775887,16.01,5121,0.79,0.76,-0.17,0.53579666,0.56993893,1.3715214,0.72191006,1.3003257,1.9763496,0.60658706,0,0,0,0.2850525
Kepler-1612 b,1.08,1.03,3.917951,1.0180036,0.98835299,0.0482,279.1939,1041.3008,1175.9856,Terran,Hot,Kepler-1612,G,291.2503,45.655054,14.936,5643,0.96,0.94,0.03,0.64863443,0.60928859,1.4408512,0.77174236,1.3660579,2.1745218,1.5870165,0,0,0,0.29786273
Kepler-1631 b,2.39,1.35,4.0951393,1.3113855,0.97139664,0.0511,389.18689,1131.4601,1277.8064,Terran,Hot,Kepler-1631,G,294.63258,43.807669,15.673,5679,0.97,0.95,0.04,1.0162487,0.76102475,1.7978261,0.96393478,1.7045025,2.7218473,1.6941109,0,0,0,0.28867844
Kepler-1615 b,4.9,2.06,47.312619,1.15468,0.56052427,0.2788,31.507537,603.5362,681.5993,Superterran,Hot,Kepler-1615,G,286.35921,42.227397,14.603,5865,1.04,1.05,0.06,2.4490632,1.1682849,2.7462666,1.4797741,2.6037105,4.2253605,2.3867503,0,0,0,0.29263397
Kepler-1632 b,6.66,2.47,448.30356,1.0916422,0.44196041,0.6762,5.5699291,391.34711,441.96506,Superterran,Hot,Kepler-1632,F,294.49488,43.913558,13.22,6137,1.12,1.19,0,2.5468303,1.1717859,2.7374804,1.4841973,2.5953807,4.3088737,3.9037258,0,0,0,0.42410999
Kepler-1639 b,7.18,2.58,9.878482,1.0786611,0.41808571,0.0932,160.75636,907.07198,,Neptunian,Hot,Kepler-1639,F,283.06865,48.802121,14.593,6150,1.12,1.18,-0.03,1.3963684,0.86697063,2.0248451,1.0981144,1.9197376,3.1905368,3.9918925,0,0,0,0.23507975
Kepler-208 e,2.79,1.48,16.259458,1.27374,0.86063511,0.132,116.91013,837.65029,945.99438,Terran,Hot,Kepler-208,F,293.8902,42.527941,13.561,6092,1.16,1.31,-0.042,2.0370421,1.0508484,2.4572604,1.3310181,2.3297066,3.8535745,3.6558131,0,0,0,0.29154234
Kepler-209 c,9.8,3.1,41.749882,1.0197711,0.32895841,0.231,13.924386,492.08907,,Neptunian,Hot,Kepler-209,G,291.16946,42.640728,14.132,5513,0.93,0.94,0.11,0.74301914,0.6570645,1.5599142,0.83225953,1.4789402,2.3273611,1.2560011,0,0,0,0.28856327
Kepler-1517 b,68.7,9.76,5.5460837,0.7212023,0.073893678,0.078,1243.9725,1512.8728,,Jovian,Hot,Kepler-1517,F,287.80721,43.188801,12.228,7010,1.58,1.95,0.01,7.568329,1.9236888,4.4392624,2.4365132,4.2088306,7.4278609,19.617936,0,0,0,0.089068777
Kepler-221 b,3.57,1.71,2.795906,1.2208885,0.71396987,0.037,288.13536,1049.5396,1185.2901,Superterran,Hot,Kepler-221,K,296.65475,46.835224,13.97,5243,0.82,0.82,0.062,0.3944573,0.48594703,1.1641574,0.61552055,1.1037263,1.6957576,0.75738225,0,0,0,0.27375844
Kepler-656 c,2.57,1.41,5.2544939,1.2926915,0.91680249,0.0602,138.61397,874.08056,987.13665,Terran,Hot,Kepler-656,G,288.32788,47.381538,15.549,5550,1.05,0.95,0.46,0.50234259,0.539116,1.2784361,0.68286142,1.2120734,1.9136555,1.3936867,0,0,0,0.29271749
Kepler-184 d,6.76,2.49,29.022358,1.090305,0.43787349,0.179,18.590623,528.96044,597.3777,Superterran,Hot,Kepler-184,G,291.95188,43.074617,14.42,5788,0.97,0.87,-0.196,0.59566214,0.5788546,1.3634023,0.7331909,1.2926294,2.0838371,2.0430016,0,0,0,0.29696527
CoRoT-7 c,8.4,2.83,3.698,1.0488332,0.37061243,0.046,242.93178,1005.7054,1135.7862,Superterran,Hot,CoRoT-7,G,100.95617,-1.0630076,11.728,5256,0.9,0.86,0.06,0.51404365,0.55435691,1.3274269,0.70217112,1.2585206,1.9358146,0.79889716,0,0,0,0.2215501
Kepler-1711 b,4.36,1.923,21.060801,1.1790383,0.61312445,0.1463,47.809186,669.84998,756.49029,Superterran,Hot,Kepler-1711,G,298.17729,42.237029,13.298,5706,0.94,1.03,0,1.023293,0.76243358,1.7997905,0.96571853,1.7063649,2.7312645,1.7560589,0,0,0,0.28605364
Kepler-1630 b,5.43,2.19,509.9974,1.1321699,0.51697255,1.1218,0.17954327,165.82194,187.26982,Superterran,Cold,Kepler-1630,K,297.5083,43.711054,14.278,4736,0.66,0.63,-0.46,0.22594358,0.37671816,0.92089563,0.47717113,0.8730906,1.2834051,0.29485603,0,0,0,0.44188749
Kepler-769 b,8.85,2.92,7.42609,1.0379527,0.35546326,0.0778,249.48291,1012.4181,,Neptunian,Hot,Kepler-769,F,292.71309,38.358168,14.984,6186,1.19,1.28,0.06,1.5100802,0.89960805,2.0995568,1.1394522,1.990571,3.3179036,4.3332665,0,0,0,0.21769744
Kepler-241 c,7.13,2.57,36.065978,1.0795016,0.42003953,0.189,6.9195267,413.16051,,Neptunian,Hot,Kepler-241,K,292.91311,41.060979,15.708,4699,0.67,0.67,0.031,0.24717241,0.3946128,0.96620348,0.49983766,0.91604625,1.3423438,0.27808694,0,0,0,0.38677135
Kepler-1649 b,1.03,1.017,8.689099,0.99585319,0.97920668,0.0514,1.9546714,301.20914,340.1684,Terran,Hot,Kepler-1649,M,292.50297,41.829993,17.95,3240,0.2,0.23,-0.15,0.005164164,0.058946084,0.15491324,0.074663129,0.14686785,0.19402771,0.015155824,0,0,0,0.771452
Kepler-1653 b,5.35,2.17,140.2524,1.1361464,0.52356979,0.4706,1.0439896,257.49793,290.80345,Superterran,Warm,Kepler-1653,K,296.4577,41.266021,15.864,4807,0.72,0.69,-0.18,0.23120648,0.37994198,0.92594059,0.48125412,0.877874,1.2982662,0.34291033,1,1,2,0.73857407
TOI-2236 b,502.16888,14.37,3.5315902,2.4318471,0.16923083,0.05009,1359.8717,1546.9426,,Jovian,Hot,TOI-2236,F,20.166011,-86.979965,11.6,6248,1.34,1.57,0.119,3.4119291,1.3471663,3.1403445,1.7063309,2.9773328,4.9872801,5.0148813,0,0,0,0.063584566
TOI-2207 b,203.41018,11.153,8.001968,1.6352693,0.14662147,0.086692785,424.38516,1149.5882,,Jovian,Hot,TOI-2207,F,307.59669,-44.887618,11.316,6101,1.3,1.56,0.181,3.047895,1.2846995,3.0035154,1.6272166,2.847606,4.7137198,3.8565074,0,0,0,0.081151609
TOI-3629 b,82.63539,8.295,3.936551,1.2009732,0.14478278,0.04305375,40.607536,642.75813,,Jovian,Hot,TOI-3629,M,359.79339,39.314256,14.639,3870,0.63,0.6,0.4,0.074989421,0.22270011,0.56734131,0.28208383,0.53788465,0.7393733,0.065574863,0,0,0,0.12760873
TOI-733 b,5.72,1.992,4.884765,1.441509,0.7236491,0.061865384,215.02206,975.09741,1101.2193,Superterran,Hot,TOI-733,G,159.40932,-40.888259,9.44,5585,0.96,0.95,-0.04,0.82035154,0.68754245,1.6286837,0.87086227,1.54414,2.445478,1.4365032,0,0,0,0.26125275
TOI-1194 b,144.92975,8.597,2.310644,1.9609372,0.22809552,0.034379001,625.42646,1272.5425,,Jovian,Hot,TOI-1194,G,167.82148,69.964775,11.302,5446,1.01,0.96,0.29,0.73282453,0.65503357,1.558406,0.8296885,1.4775101,2.3113396,1.150658,0,0,0,0.099928416
Kepler-191 d,5.82,2.28,5.945041,1.1195753,0.49104178,0.0599,107.43514,820.1368,926.21564,Superterran,Hot,Kepler-191,K,291.18332,45.323094,14.987,5215,0.84,0.8,-0.05,0.38547836,0.48109311,1.1536932,0.60937276,1.0938053,1.6763464,0.72763285,0,0,0,0.25309236
Kepler-650 b,9.06,2.96,3.0321456,1.0340577,0.34934382,0.0421,1085.0152,1462.038,,Neptunian,Hot,Kepler-650,G,289.00095,45.154297,13.825,5849,1.08,1.35,0.13,1.9230917,1.0362626,2.436907,1.3125525,2.3104095,3.7442407,2.3514328,0,0,0,0.21218811
Kepler-1731 b,8.92,2.933,21.761299,1.0369092,0.35353195,0.1401,12.797458,481.81536,,Neptunian,Hot,Kepler-1731,K,291.25442,36.74343,12.742,4859,0.78,0.72,0,0.25118864,0.39512121,0.9608215,0.50048053,0.91094443,1.3532055,0.3850934,0,0,0,0.30262703
Kepler-195 c,3.02,1.55,34.096863,1.2570239,0.81098318,0.197,11.067959,464.64,524.73787,Terran,Hot,Kepler-195,G,288.12093,47.966614,14.863,5329,0.84,0.78,-0.11,0.42953643,0.50475718,1.2055759,0.63934499,1.1429951,1.7695538,0.88505395,0,0,0,0.39068475
Kepler-758 e,2.96,1.53,8.1934719,1.2644709,0.82645159,0.0785,593.28134,1257.2304,1419.8442,Terran,Hot,Kepler-758,F,293.08461,41.135405,14.379,6228,1.16,1.42,-0.1,3.6559479,1.3961972,3.2558704,1.7684348,3.0868618,5.162544,4.6180223,0,0,0,0.2798733
Kepler-60 d,4.16,1.99,11.8981,1.0504785,0.52787865,0.1012,228.36996,990.2833,1118.3694,Superterran,Hot,Kepler-60,G,288.96125,42.265047,13.95,5905,1.04,1.26,-0.09,2.3388372,1.1389216,2.6745954,1.4425803,2.5357598,4.1291795,2.5565348,0,0,0,0.26099169
Kepler-242 c,4.66,2,14.496481,1.165,0.5825,0.109,20.518566,542.17122,612.2972,Superterran,Hot,Kepler-242,K,286.56569,41.808417,15.489,5020,0.81,0.85,0.01,0.24378108,0.38636028,0.93338683,0.48938214,0.88493449,1.3331032,0.5142266,0,0,0,0.31667596
Kepler-1742 b,5.38,2.178,49.478199,1.1341396,0.52072526,0.2587,9.7815379,450.50695,508.77681,Superterran,Hot,Kepler-1742,G,286.96681,44.992432,14.512,5776,0.94,0.85,-0.18,0.65463617,0.60727158,1.4307891,0.76918478,1.3565181,2.1845589,1.9804657,0,0,0,0.36722625
KOI-984 c,209.8,14.1,21.512,1.0552789,0.074842476,0.15729174,23.823435,546.76947,,Jovian,Hot,KOI-984,K,291.04894,36.840077,12.795,5295,0.93,0.82,0.12,0.47424199,0.53135256,1.2705932,0.67303227,1.2046372,1.8593612,0.86364704,0,0,0,0.10613321
Kepler-1322 b,3.22,1.61,0.96286738,1.242236,0.77157517,0.0183,2366.4527,1776.7412,2006.55,Superterran,Hot,Kepler-1322,G,293.2045,45.435392,15.876,5488,0.9,0.87,-0.07,0.79250133,0.67956186,1.6145915,0.86075598,1.5307791,2.4036087,1.1901186,0,0,0,0.27441937
OGLE-2019-BLG-0362L b,1036.1206,13.1,,6.037647,0.46088909,2.18,,,,Jovian,,OGLE-2019-BLG-0362L,,263.46525,-24.810361,,,0.42,,,,,,,,,,0,0,0,
Kepler-1793 b,13.8,3.79,8.7799997,0.96072848,0.25349036,0.0787,94.19992,793.61952,,Neptunian,Hot,Kepler-1793,K,291.91295,40.953927,15.949,5191,0.85,0.76,-0.06,0.5834451,0.59261488,1.4223747,0.75063131,1.3485396,2.0623566,0.70100107,0,0,0,0.19449142
Kepler-1880 b,5.13,2.117,6.3092198,1.1446577,0.54069803,0.054,59.321549,706.973,798.41491,Superterran,Hot,Kepler-1880,K,287.82646,40.696599,16.088,4380,0.52,0.53,-0.92,0.17298164,0.3339318,0.82967648,0.42297688,0.78660463,1.1229586,0.14773333,0,0,0,0.27088822
HD 216520 c,9.44,3.03,154.43,1.0282216,0.33934707,0.5318016,1.2760915,270.01655,304.94126,Superterran,Warm,HD 216520,K,341.87687,83.697531,7.53,5103,0.82,0.76,-0.16,0.35318317,0.46314944,1.1153015,0.58664595,1.0574062,1.6045888,0.59546825,1,0,2,0.63363284
